銘柄コード,銘柄名,終値,RSI,MACD,Signal,判定,反発確度スコア
7203.T,トヨタ自動車,2965.5,54.6,25.879,11.434,ボックス上限タッチ（天井候補）,20
6758.T,ソニーグループ,3574.0,62.7,34.368,19.529,ボックス上限タッチ（天井候補）,20
8035.T,東京エレクトロン,62800.0,34.2,-722.549,823.915,判定なし,10
6861.T,キーエンス,74170.0,34.1,-1179.794,-713.101,判定なし,10
9983.T,ファーストリテイリング,77370.0,23.2,-1011.501,-151.826,判定なし,20
9432.T,NTT,154.3,72.7,1.323,0.797,ボックス上限タッチ（天井候補）,20
9433.T,KDDI,2953.0,87.2,55.311,43.562,ボックス上限タッチ（天井候補）,20
8306.T,三菱UFJフィナンシャルグループ,3799.0,72.8,138.913,118.173,ボックス上限タッチ（天井候補）,20
8316.T,三井住友フィナンシャルグループ,7214.0,66.8,210.331,197.011,ボックス上限タッチ（天井候補）,20
4502.T,武田薬品工業,5769.0,65.1,126.268,94.42,ボックス上限タッチ（天井候補）,20
6098.T,リクルート,12510.0,59.1,416.384,502.862,判定なし,0
7974.T,任天堂,7431.0,62.8,-4.695,-36.172,ボックス上限タッチ（天井候補）,20
6501.T,日立製作所,5023.0,61.5,28.857,-2.872,ボックス上限タッチ（天井候補）,20
9984.T,ソフトバンクグループ,5331.0,40.4,-246.692,-190.974,判定なし,0
8058.T,三菱商事,4847.0,67.8,44.615,-25.269,判定なし,20
8001.T,伊藤忠商事,1984.5,67.2,23.04,12.482,ボックス上限タッチ（天井候補）,20
8053.T,住友商事,1611.5,53.1,-4.015,-13.524,判定なし,20
8766.T,東京海上HD,8243.0,62.8,198.286,147.79,ボックス上限タッチ（天井候補）,20
4661.T,オリエンタルランド,2831.5,68.6,94.325,90.51,ボックス上限タッチ（天井候補）,20
6902.T,デンソー,2056.0,61.9,28.158,20.838,ボックス上限タッチ（天井候補）,20
6981.T,村田製作所,8102.0,31.1,-452.243,-254.652,判定なし,10
6594.T,日本電産,2557.0,35.9,-39.725,-31.54,判定なし,10
7741.T,HOYA,24725.0,42.2,-402.039,-391.725,判定なし,0
9101.T,日本郵船,6076.0,76.0,148.073,72.954,判定なし,20
9107.T,川崎汽船,2850.0,69.1,70.038,41.281,判定なし,20
9104.T,商船三井,5912.0,73.8,97.937,30.432,判定なし,20
5411.T,JFEホールディングス,1804.0,77.5,36.083,20.418,ボックス上限タッチ（天井候補）,20
5401.T,日本製鉄,636.9,89.7,16.901,9.312,ボックス上限タッチ（天井候補）,20
4503.T,アステラス製薬,2210.0,50.4,0.139,-7.902,ボックス上限タッチ（天井候補）,20
2503.T,キリンHD,2968.0,66.2,52.832,51.733,ボックス上限タッチ（天井候補）,20
2502.T,アサヒグループHD,1674.0,63.1,31.931,27.299,判定なし,20
2914.T,日本たばこ産業,6531.0,72.3,122.269,87.931,ボックス上限タッチ（天井候補）,20
3382.T,セブン＆アイHD,2134.5,57.4,45.375,35.334,判定なし,20
3092.T,ZOZO,1165.0,50.1,10.838,18.125,判定なし,0
3289.T,東急不動産HD,1370.5,58.8,10.981,6.778,ボックス上限タッチ（天井候補）,20
3407.T,旭化成,1872.5,45.4,22.035,25.419,判定なし,0
3401.T,帝人,1733.5,48.5,20.235,19.315,判定なし,20
3861.T,王子HD,882.4,75.5,17.579,12.337,ボックス上限タッチ（天井候補）,20
3863.T,日本製紙,1502.0,71.1,66.223,49.208,判定なし,20
4063.T,信越化学工業,6146.0,28.2,-118.135,-19.571,ボックス下限タッチ（底候補）,50
4188.T,三菱ケミカルグループ,1225.0,53.2,28.927,29.388,ボックス上限タッチ（天井候補）,0
4208.T,宇部興産,3326.0,55.9,58.975,60.195,ボックス上限タッチ（天井候補）,0
4452.T,花王,3284.0,44.8,43.307,56.124,判定なし,0
4506.T,大日本住友製薬,1300.5,15.9,-60.25,-53.476,判定なし,20
4519.T,中外製薬,6848.0,31.8,-99.227,-81.249,ボックス下限タッチ（底候補）,40
4523.T,エーザイ,4753.0,73.1,148.364,105.084,ボックス上限タッチ（天井候補）,20
4543.T,テルモ,2249.0,46.0,-7.776,-4.945,判定なし,0
4578.T,大塚HD,11325.0,40.0,65.691,64.331,判定なし,30
4901.T,富士フイルムHD,3831.0,68.5,77.221,70.19,ボックス上限タッチ（天井候補）,20
4911.T,資生堂,3277.0,70.8,132.192,96.307,ボックス上限タッチ（天井候補）,20
5020.T,ENEOS,1323.5,64.6,18.316,8.007,判定なし,20
5108.T,ブリヂストン,3858.0,74.5,100.613,87.179,ボックス上限タッチ（天井候補）,20
5201.T,AGC,6260.0,34.3,-172.185,-145.082,判定なし,10
5214.T,日本電気硝子,5607.0,24.4,-220.425,-193.686,判定なし,20
5332.T,TOTO,7453.0,18.2,-146.27,-38.103,判定なし,20
5406.T,神戸製鋼所,2044.5,68.7,22.214,6.323,ボックス上限タッチ（天井候補）,20
5713.T,住友金属鉱山,7785.0,48.1,-201.873,-308.725,判定なし,20
5802.T,住友電気工業,2355.0,41.2,-129.864,-132.498,判定なし,20
5803.T,フジクラ,4325.0,32.4,-209.911,-134.647,判定なし,10
5901.T,東洋製罐グループHD,4146.0,48.1,31.423,34.572,ボックス上限タッチ（天井候補）,0
6099.T,エラン,786.0,66.7,14.892,14.894,判定なし,0
6301.T,コマツ,6901.0,55.8,31.53,-14.253,ボックス上限タッチ（天井候補）,20
6367.T,ダイキン工業,24135.0,13.3,21.041,213.221,判定なし,20
6471.T,日本精工,1145.0,38.8,-13.596,-13.477,25MAタッチ（反発候補）,40
6473.T,ジェイテクト,2105.0,43.2,7.742,12.59,判定なし,0
