分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,判定,反発確度スコア
2026-08-06 19:57:24,2026-08-06,7203.T,トヨタ自動車,2983.5,69.0,2.37,54.5,35.323,40.289,2930.2,3233.0,2794.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-06 19:57:24,2026-08-06,6758.T,ソニーグループ,3626.0,61.0,1.71,61.0,70.303,68.755,3504.3,3964.0,3306.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-06 19:57:24,2026-08-06,8035.T,東京エレクトロン,55330.0,-3220.0,-5.5,28.9,-3532.461,-2705.944,64604.4,74810.0,48580.0,RSI 28.9（売られ過ぎ） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-06 19:57:24,2026-08-06,6861.T,キーエンス,85530.0,-1850.0,-2.12,69.2,2030.374,584.713,77124.0,87920.0,68930.0,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-06 19:57:24,2026-08-06,9983.T,ファーストリテイリング,78890.0,2020.0,2.63,50.1,-789.126,-682.87,80590.4,87780.0,75440.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-06 19:57:24,2026-08-06,9432.T,NTT,154.5,3.5,2.32,56.4,1.392,1.586,151.2,161.2,147.6,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-06 19:57:24,2026-08-06,9433.T,KDDI,2901.0,44.5,1.56,54.9,41.974,54.586,2866.6,3121.0,2777.5,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-06 19:57:24,2026-08-06,8306.T,三菱UFJフィナンシャルグループ,3574.0,33.0,0.93,47.3,54.984,84.346,3552.1,3813.0,3381.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-06 19:57:24,2026-08-06,8316.T,三井住友フィナンシャルグループ,6781.0,115.0,1.73,44.0,29.384,92.747,6859.7,7260.0,6420.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-06 19:57:24,2026-08-06,4502.T,武田薬品工業,5425.0,156.0,2.96,52.9,43.178,87.882,5472.1,5903.0,5225.0,25MAタッチ＋終値上昇（反発強候補） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 40点（反発余地あり）,40
2026-08-06 19:57:24,2026-08-06,6098.T,リクルート,12845.0,125.0,0.98,53.3,313.239,375.222,12454.6,13320.0,11905.0,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
