分析実行日時,取引日,銘柄コード,銘柄名,終値,前日比,前日比率(%),RSI,MACD,Signal,25MA,20日高値,20日安値,25MAタッチ,20日安値タッチ,判定,反発確度スコア
2026-08-09 12:03:13,2026-08-07,7203.T,トヨタ自動車,2980.0,-3.5,-0.12,54.9,33.108,38.858,2937.7,3233.0,2794.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,6758.T,ソニーグループ,3721.0,95.0,2.62,63.7,75.327,70.075,3519.9,3964.0,3306.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,8035.T,東京エレクトロン,54500.0,-830.0,-1.5,33.4,-3591.846,-2883.079,63866.8,74810.0,48580.0,False,False,RSI 33.4（やや弱い） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 10点（反発余地あり）,10
2026-08-09 12:03:13,2026-08-07,6861.T,キーエンス,85110.0,-420.0,-0.49,76.2,2282.6,924.073,77312.4,87920.0,68930.0,False,False,RSI 76.2（買われ過ぎ・警戒） / MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,9983.T,ファーストリテイリング,79310.0,420.0,0.53,51.2,-694.318,-685.619,80470.0,86840.0,75440.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,9432.T,NTT,158.5,4.0,2.59,61.6,1.732,1.615,151.7,161.2,147.6,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,9433.T,KDDI,2981.0,80.0,2.76,58.9,44.556,52.607,2876.9,3121.0,2778.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,8306.T,三菱UFJフィナンシャルグループ,3564.0,-10.0,-0.28,55.3,50.047,77.485,3562.4,3813.0,3410.0,True,False,25MAタッチ＋終値下落（反発弱候補・注意） / MACDデッドクロス（下落トレンド寄り） / 総合スコア 20点（反発余地あり）,20
2026-08-09 12:03:13,2026-08-07,8316.T,三井住友フィナンシャルグループ,6782.0,1.0,0.01,51.7,26.95,79.58,6868.1,7260.0,6420.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,4502.T,武田薬品工業,5540.0,115.0,2.12,52.2,45.316,79.37,5482.8,5903.0,5225.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,6098.T,リクルート,13165.0,320.0,2.49,54.8,335.649,367.298,12516.0,13320.0,11905.0,False,False,MACDデッドクロス（下落トレンド寄り） / 総合スコア 0点（反発余地あり）,0
2026-08-09 12:03:13,2026-08-07,7974.T,任天堂,8043.0,402.0,5.26,63.1,172.632,124.541,7328.7,8245.0,6905.0,False,False,MACDゴールデンクロス（上昇トレンド寄り） / 総合スコア 20点（反発余地あり）,20
